part_number,current_draw_mA,S11_dB,S21_dB,S12_dB,S22_dB,timestamp
LNA00326P1,81.0,-12.921,34.606,-47.376,-11.544,2026-07-14T14:40:12
LNA00332P1,86.0,-13.657,34.747,-45.678,-11.489,2026-07-14T14:40:55
LNA00335P2,81.0,-12.879,34.437,-46.865,-11.402,2026-07-14T14:41:38
LNA00338P1,86.0,-14.997,34.921,-43.723,-11.117,2026-07-14T14:42:14
LNA00330P2,87.0,-14.082,34.861,-56.379,-11.635,2026-07-14T14:42:55
LNA00343P1,84.0,-13.892,34.925,-43.974,-11.566,2026-07-14T14:43:26
LNA00327P1,80.0,-13.453,34.58,-50.645,-12.283,2026-07-14T14:44:16
LNA00333P1,80.0,-13.883,34.82,-44.76,-11.313,2026-07-14T14:44:59
LNA00339P1,84.0,-13.041,34.605,-51.2,-12.01,2026-07-14T14:45:33
LNA00328P1,82.0,-13.526,34.657,-49.077,-11.755,2026-07-14T14:46:12
LNA00344P1,84.0,-13.769,34.535,-48.606,-11.547,2026-07-14T14:46:51
LNA00334P1,83.0,-12.405,34.375,-62.249,-11.422,2026-07-14T14:47:43
LNA00340P1,84.0,-13.555,34.622,-47.965,-11.803,2026-07-14T14:48:18
LNA00349P1,85.0,-13.528,34.597,-51.625,-12.075,2026-07-14T14:49:01
LNA00345P1,86.0,-14.404,34.933,-45.685,-11.52,2026-07-14T14:49:38
LNA00329P1,85.0,-13.875,34.965,-46.186,-11.134,2026-07-14T14:51:49
LNA00330P1,83.0,-13.403,34.726,-46.073,-12.341,2026-07-14T14:52:34
LNA00335P1,81.0,-13.143,34.428,-49.502,-12.503,2026-07-14T14:53:23
LNA00341P1,87.0,-14.529,34.796,-44.043,-11.016,2026-07-14T14:54:07
LNA00336P1,84.0,-14.05,34.845,-42.994,-10.951,2026-07-14T14:55:09
LNA00342P1,83.0,-13.256,34.555,-49.491,-11.454,2026-07-14T14:55:42
LNA00336P2,83.0,-13.328,34.693,-51.188,-11.759,2026-07-14T14:56:18
LNA00328P2,83.0,-13.172,34.582,-44.593,-11.274,2026-07-14T14:56:56
LNA00350P1,81.0,-14.003,34.745,-48.268,-11.445,2026-07-14T14:57:46
LNA00346P1,86.0,-14.038,34.745,-51.235,-11.315,2026-07-14T14:58:27
LNA00347P1,85.0,-13.645,34.735,-44.942,-11.716,2026-07-14T14:59:07
LNA00329P2,83.0,-13.468,34.645,-46.706,-10.72,2026-07-14T14:59:42
LNA00361P2,83.0,-13.007,34.615,-44.971,-11.035,2026-07-14T15:05:56
LNA00351P2,82.0,-13.858,34.736,-49.776,-10.806,2026-07-14T15:06:30
LNA00360P1,83.0,-13.485,34.612,-48.302,-11.377,2026-07-14T15:08:10
LNA00362P2,82.0,-12.972,34.592,-47.893,-11.885,2026-07-14T15:09:03
LNA00362P1,84.0,-13.428,34.662,-49.937,-10.857,2026-07-14T15:09:52
LNA00363P2,82.0,-13.401,34.444,-45.654,-10.372,2026-07-14T15:10:35
LNA00379P2,85.0,-13.844,34.751,-50.137,-11.104,2026-07-14T15:11:08
LNA00361P1,82.0,-13.415,34.497,-48.913,-11.411,2026-07-14T15:11:55
LNA00379P1,84.0,-13.074,34.769,-52.013,-11.488,2026-07-14T15:12:44
LNA00380P2,84.0,-13.328,34.685,-57.776,-12.21,2026-07-14T15:13:40
LNA00357P1,85.0,-13.897,34.721,-49.07,-11.815,2026-07-14T15:14:30
LNA00363P1,81.0,-13.546,34.466,-41.897,-10.557,2026-07-14T15:15:20
LNA00380P1,80.0,-13.22,34.757,-45.813,-11.857,2026-07-14T15:16:14
LNA00351P1,83.0,-13.943,34.658,-53.313,-11.25,2026-07-14T15:17:04
LNA00352P1,84.0,-13.4,34.649,-53.832,-11.357,2026-07-14T15:17:51
LNA00355P2,82.0,-13.229,34.623,-42.081,-11.107,2026-07-14T15:18:33
